,name,state,location_type,cocoa,area_harvested_cocoa,area_planted_cocoa,coffee,area_planted_coffee,area_harvested_coffee,area_planted_corn,area_harvested_corn,corn,rice,area_planted_rice,area_harvested_rice,area_planted_soy,soy,area_harvested_soy,area_harvested_sugarcane,area_planted_sugarcane,sugarcane
0,Abadia de Goias,Goias,city,0,0,0,0,0,0,210,210,840,0,0,0,800,2880,800,18,18,1450
1,Abadia dos Dourados,Minas Gerais,city,0,0,0,371,182,182,1920,1920,12414,0,0,0,3500,13650,3500,10,10,400
2,Abadiania,Goias,city,0,0,0,0,0,0,1600,1600,7085,0,0,0,5000,17500,5000,0,0,0
3,Abaetetuba,Para,city,51,140,140,27,40,40,90,90,66,36,60,60,0,0,0,100,100,3000
4,Abaete,Minas Gerais,city,0,0,0,195,60,60,820,820,5904,5,4,4,450,1755,450,170,170,10200
5,Abaiara,Ceara,city,0,0,0,0,0,0,1702,1702,3915,7,3,3,0,0,0,2,2,93
6,Abare,Bahia,city,0,0,0,0,0,0,700,700,191,0,0,0,0,0,0,0,0,0
7,Abatia,Parana,city,0,0,0,433,380,380,5820,5820,34364,4,2,2,10470,37064,10470,560,560,40454
8,Abaira,Bahia,city,0,0,0,117,135,135,124,124,56,9,14,14,0,0,0,300,300,6000
9,Abdon Batista,Santa Catarina,city,0,0,0,0,0,0,2000,2000,17000,0,0,0,3200,11600,3200,0,0,0
10,Abel Figueiredo,Para,city,0,0,0,0,0,0,210,210,693,34,15,15,5600,17360,5600,11,11,618
11,Abelardo Luz,Santa Catarina,city,0,0,0,0,0,0,6000,6000,45000,0,0,0,50000,180000,50000,0,0,0
12,Abre Campo,Minas Gerais,city,0,0,0,4920,4100,4100,400,400,1356,0,0,0,0,0,0,210,210,6930
13,Abreu e Lima,Pernambuco,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Abreulandia,Tocantins,city,0,0,0,0,0,0,3300,3300,10890,97,50,50,8449,27000,8449,10,10,652
15,Acaiaca,Minas Gerais,city,0,0,0,5,4,4,100,100,300,0,0,0,0,0,0,40,40,1400
16,Acajutiba,Bahia,city,0,0,0,0,0,0,220,220,248,0,0,0,0,0,0,0,0,0
17,Acarape,Ceara,city,0,0,0,0,0,0,410,410,425,19,10,10,0,0,0,4,4,160
18,Acarau,Ceara,city,0,0,0,0,0,0,3060,3060,612,0,0,0,0,0,0,15,15,330
19,Acari,Rio Grande do Norte,city,0,0,0,0,0,0,80,80,24,0,0,0,0,0,0,0,0,0
20,Acara,Para,city,716,1120,1120,0,0,0,50,50,162,42,50,50,0,0,0,0,0,0
21,Acaua,Piaui,city,0,0,0,0,0,0,1505,1505,596,0,0,0,0,0,0,0,0,0
22,Acegua,Rio Grande do Sul,city,0,0,0,0,0,0,1500,1500,3600,48019,5856,5856,30000,48750,30000,0,0,0
23,Acopiara,Ceara,city,0,0,0,0,0,0,12700,12700,14135,58,16,16,0,0,0,40,40,1600
24,Acorizal,Mato Grosso,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,200
25,Acre,Acre,state,0,0,0,2570,1062,999,40460,40380,135276,4605,3705,3635,6570,22667,6570,448,480,11896
26,Acrelandia,Acre,city,0,0,0,1591,505,505,1150,1150,3395,91,65,65,0,0,0,40,60,1120
27,Acreuna,Goias,city,0,0,0,0,0,0,30200,30200,166150,0,0,0,51000,188700,51000,33000,33000,1748637
28,Adamantina,Sao Paulo,microregion,0,0,0,6305,5744,5744,3980,3980,17081,0,0,0,5695,14590,5695,82157,82157,5685156
29,Adamantina,Sao Paulo,city,0,0,0,595,525,525,200,200,889,0,0,0,500,1034,500,12549,12549,815685
30,Adelandia,Goias,city,0,0,0,0,0,0,160,160,1200,0,0,0,200,760,200,0,0,0
31,Adolfo,Sao Paulo,city,0,0,0,0,0,0,173,173,1349,0,0,0,1020,3673,1020,6376,6376,573840
32,Adrianopolis,Parana,city,0,0,0,0,0,0,1100,1100,7150,19,12,12,0,0,0,372,372,15624
33,Adustina,Bahia,city,0,0,0,0,0,0,30000,30000,216000,0,0,0,0,0,0,0,0,0
34,Afogados da Ingazeira,Pernambuco,city,0,0,0,0,0,0,2300,2300,920,0,0,0,0,0,0,4,4,92
35,Afonso Bezerra,Rio Grande do Norte,city,0,0,0,0,0,0,240,240,101,0,0,0,0,0,0,0,0,0
36,Afonso Claudio,Espirito Santo,microregion,4,6,6,90722,45643,45623,1540,1540,3194,1,1,1,0,0,0,74,74,3037
37,Afonso Claudio,Espirito Santo,city,1,2,2,21767,11670,11650,450,450,810,1,1,1,0,0,0,15,15,640
38,Afonso Cunha,Maranhao,city,0,0,0,0,0,0,160,160,96,171,190,190,10100,30805,10100,5,5,165
39,Afranio,Pernambuco,city,0,0,0,0,0,0,4300,215,20,0,0,0,0,0,0,0,0,0
40,Afua,Para,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Aglomeracao Urbana de Sao Luis,Maranhao,microregion,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0
42,Agreste Alagoano,Alagoas,macroregion,0,0,0,0,0,0,21804,9633,22059,0,0,0,700,2200,650,5485,5485,362263
43,Agreste Paraibano,Paraiba,macroregion,0,0,0,0,0,0,38889,37444,28647,0,0,0,0,0,0,5035,5035,271275
44,Agreste Pernambucano,Pernambuco,macroregion,0,0,0,555,906,898,39165,23047,24825,0,0,0,0,0,0,3279,3499,172372
45,Agreste Potiguar,Rio Grande do Norte,macroregion,0,0,0,0,0,0,14170,12350,6355,0,0,0,0,0,0,1190,1190,72091
46,Agreste Potiguar,Rio Grande do Norte,microregion,0,0,0,0,0,0,5930,5880,3161,0,0,0,0,0,0,1190,1190,72091
47,Agreste Sergipano,Sergipe,macroregion,0,0,0,0,0,0,66783,66683,313227,0,0,0,0,0,0,2740,2740,160138
48,Agreste de Itabaiana,Sergipe,microregion,0,0,0,0,0,0,4200,4200,18243,0,0,0,0,0,0,1014,1014,66924
49,Agreste de Lagarto,Sergipe,microregion,0,0,0,0,0,0,9400,9400,51700,0,0,0,0,0,0,0,0,0
50,Agrestina,Pernambuco,city,0,0,0,0,0,0,500,400,360,0,0,0,0,0,0,0,0,0
51,Agricolandia,Piaui,city,0,0,0,0,0,0,405,405,1777,91,46,46,500,2160,500,0,0,0
52,Agrolandia,Santa Catarina,city,0,0,0,0,0,0,1250,1250,6750,1575,175,175,850,3315,850,14,14,560
53,Agronomica,Santa Catarina,city,0,0,0,0,0,0,1300,1300,8580,3850,350,350,1400,5460,1400,10,10,500
54,Aguanil,Minas Gerais,city,0,0,0,2145,1375,1375,1100,1100,6930,0,0,0,400,1512,400,45,45,1845
55,Aguai,Sao Paulo,city,0,0,0,889,465,465,5000,5000,41072,0,0,0,3000,11127,3000,11500,11500,983894
56,Agudo,Rio Grande do Sul,city,0,0,0,0,0,0,3500,3500,6300,66000,9100,8800,1500,2700,1500,55,58,1650
57,Agudos,Sao Paulo,city,0,0,0,0,0,0,0,0,0,0,0,0,675,2363,675,8784,8784,650016
58,Agudos do Sul,Parana,city,0,0,0,0,0,0,3700,3700,33300,5,2,2,1730,6661,1730,0,0,0
59,Aguiar,Paraiba,city,0,0,0,0,0,0,300,300,240,13,14,14,0,0,0,5,5,175
60,Aguiarnopolis,Tocantins,city,0,0,0,0,0,0,65,65,104,16,9,9,0,0,0,0,0,0
61,Aimores,Minas Gerais,microregion,5,9,9,37655,20443,20443,3035,3035,10203,999,262,262,0,0,0,449,449,21846
62,Aimores,Minas Gerais,city,4,8,8,3592,1365,1365,550,550,2013,552,100,100,0,0,0,16,16,960
63,Aiquara,Bahia,city,444,1880,1880,1,2,2,8,8,3,0,0,0,0,0,0,7,7,175
64,Aiuaba,Ceara,city,0,0,0,0,0,0,4500,4500,2750,0,0,0,0,0,0,0,0,0
65,Aiuruoca,Minas Gerais,city,0,0,0,15,10,10,700,700,4737,3,1,1,250,722,250,60,60,2700
66,Ajuricaba,Rio Grande do Sul,city,0,0,0,0,0,0,600,600,1560,0,0,0,20020,14418,20020,40,40,1200
67,Alagoa,Minas Gerais,city,0,0,0,0,0,0,20,20,90,0,0,0,0,0,0,0,0,0
68,Alagoa Grande,Paraiba,city,0,0,0,0,0,0,1200,1200,984,0,0,0,0,0,0,1600,1600,96000
69,Alagoa Nova,Paraiba,city,0,0,0,0,0,0,300,300,360,0,0,0,0,0,0,650,650,35750
70,Alagoana do Sertao do Sao Francisco,Alagoas,microregion,0,0,0,0,0,0,2850,1140,802,0,0,0,0,0,0,0,0,0
71,Alagoas,Alagoas,state,0,0,0,0,0,0,54019,20598,48055,16913,3423,2576,3686,11242,3416,279705,279705,17050772
72,Alagoinha,Paraiba,city,0,0,0,0,0,0,300,300,150,0,0,0,0,0,0,340,340,17000
73,Alagoinha,Pernambuco,city,0,0,0,0,0,0,120,120,29,0,0,0,0,0,0,0,0,0
74,Alagoinha do Piaui,Piaui,city,0,0,0,0,0,0,2500,2500,750,0,0,0,0,0,0,0,0,0
75,Alagoinhas,Bahia,microregion,0,0,0,0,0,0,25945,25945,139615,0,0,0,0,0,0,9,9,177
76,Alagoinhas,Bahia,city,0,0,0,0,0,0,150,150,228,0,0,0,0,0,0,5,5,49
77,Alambari,Sao Paulo,city,0,0,0,0,0,0,1700,1700,11280,0,0,0,2200,7260,2200,400,400,32000
78,Albertina,Minas Gerais,city,0,0,0,2160,1500,1500,30,30,108,0,0,0,0,0,0,0,0,0
79,Alcantil,Paraiba,city,0,0,0,0,0,0,300,200,80,0,0,0,0,0,0,0,0,0
80,Alcinopolis,Mato Grosso do Sul,city,0,0,0,0,0,0,7400,7400,53280,0,0,0,8420,35364,8420,0,0,0
81,Alcobaca,Bahia,city,1,3,3,3088,950,950,30,30,46,0,0,0,0,0,0,20,20,932
82,Alcantara,Maranhao,city,0,0,0,0,0,0,110,110,99,108,109,109,0,0,0,0,0,0
83,Alcantaras,Ceara,city,0,0,0,1,3,3,840,840,251,0,0,0,0,0,0,5,5,198
84,Aldeias Altas,Maranhao,city,0,0,0,0,0,0,760,760,456,855,950,950,650,1950,650,7200,7200,302400
85,Alecrim,Rio Grande do Sul,city,0,0,0,0,0,0,1000,1000,2650,0,0,0,2300,1656,2300,100,100,3200
86,Alegre,Espirito Santo,microregion,0,0,0,113044,65076,65076,5957,5957,16521,0,0,0,0,0,0,82,82,3940
87,Alegre,Espirito Santo,city,0,0,0,8472,5225,5225,300,300,900,0,0,0,0,0,0,30,30,1500
88,Alegrete,Rio Grande do Sul,city,0,0,0,0,0,0,4000,4000,5200,437334,52045,52045,85000,51000,85000,0,0,0
89,Alegrete do Piaui,Piaui,city,0,0,0,0,0,0,2500,2500,3600,0,0,0,0,0,0,0,0,0
90,Alegria,Rio Grande do Sul,city,0,0,0,0,0,0,1732,1732,8242,0,0,0,7132,4675,7132,30,30,540
91,Alenquer,Para,city,295,589,589,0,0,0,3000,3000,7500,297,180,180,0,0,0,20,20,525
92,Alexandria,Rio Grande do Norte,city,0,0,0,0,0,0,375,375,500,11,17,17,0,0,0,10,10,182
93,Alexania,Goias,city,0,0,0,0,0,0,5100,5100,30723,0,0,0,4500,17100,4500,0,0,0
94,Alfenas,Minas Gerais,microregion,0,0,0,87055,73895,73895,34495,34495,205775,7,4,4,34215,137055,34215,8323,8323,652410
95,Alfenas,Minas Gerais,city,0,0,0,9170,9920,9920,10000,10000,57650,0,0,0,13000,54600,13000,4500,4500,346500
96,Alfredo Chaves,Espirito Santo,city,21,35,35,9530,4483,4483,400,400,2160,0,0,0,0,0,0,40,40,3600
97,Alfredo Marcondes,Sao Paulo,city,0,0,0,0,0,0,150,150,350,0,0,0,0,0,0,0,0,0
98,Alfredo Vasconcelos,Minas Gerais,city,0,0,0,0,0,0,200,200,960,0,0,0,0,0,0,0,0,0
99,Alfredo Wagner,Santa Catarina,city,0,0,0,0,0,0,3627,3627,18852,1075,128,128,0,0,0,0,0,0
100,Algodao de Jandaira,Paraiba,city,0,0,0,0,0,0,65,65,65,0,0,0,0,0,0,0,0,0
101,Alhandra,Paraiba,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1600,72000
102,Alianca,Pernambuco,city,0,0,0,0,0,0,10,10,5,0,0,0,0,0,0,10000,10000,750000
103,Alianca do Tocantins,Tocantins,city,0,0,0,0,0,0,2700,2700,12960,250,80,80,8124,28328,8124,0,0,0
104,Almadina,Bahia,city,415,2110,2110,148,81,81,10,10,14,0,0,0,0,0,0,20,20,900
105,Almas,Tocantins,city,0,0,0,0,0,0,4200,4200,17413,103,45,45,12690,44415,12690,0,0,0
106,Almeirim,Para,microregion,49,62,62,0,0,0,215,215,332,156,120,120,0,0,0,23,23,1074
107,Almeirim,Para,city,39,50,50,0,0,0,75,75,108,0,0,0,0,0,0,8,8,376
108,Almenara,Minas Gerais,microregion,106,113,113,2355,1652,1652,1565,1224,1307,0,0,0,0,0,0,269,269,10825
109,Almenara,Minas Gerais,city,45,50,50,60,75,75,250,170,84,0,0,0,0,0,0,35,35,1400
110,Almino Afonso,Rio Grande do Norte,city,0,0,0,0,0,0,200,200,107,12,6,6,0,0,0,15,15,713
111,Almirante Tamandare,Parana,city,0,0,0,0,0,0,780,780,6474,0,0,0,154,544,154,0,0,0
112,Almirante Tamandare do Sul,Rio Grande do Sul,city,0,0,0,0,0,0,800,800,2490,0,0,0,16300,37290,16300,2,2,80
113,Aloandia,Goias,city,0,0,0,0,0,0,740,740,2612,4,2,2,2870,11480,2870,0,0,0
114,Alpercata,Minas Gerais,city,0,0,0,0,0,0,250,250,1275,0,0,0,0,0,0,0,0,0
115,Alpestre,Rio Grande do Sul,city,0,0,0,0,0,0,3600,3600,12488,18,5,5,2000,2457,1700,94,94,3036
116,Alpinopolis,Minas Gerais,city,0,0,0,8162,5660,5660,2400,2400,14080,0,0,0,2700,10530,2700,600,600,45000
117,Alta Floresta,Mato Grosso,microregion,12,22,22,672,1008,1008,44540,44540,237529,15150,4900,4900,117001,421211,117001,0,0,0
118,Alta Floresta,Mato Grosso,city,0,0,0,120,200,200,20000,20000,110000,3000,1000,1000,55426,199533,55426,0,0,0
119,Alta Floresta D'Oeste,Rondonia,city,31,55,55,23742,6140,6140,1344,1344,5556,405,135,135,1117,4915,1117,0,0,0
120,Altair,Sao Paulo,city,0,0,0,0,0,0,400,400,2880,0,0,0,1100,3300,1100,15000,15000,1200000
121,Altamira,Para,microregion,107830,100803,100803,57,60,60,18210,18210,72461,15658,4333,4333,14650,49550,14650,51,51,2853
122,Altamira,Para,city,5843,5666,5666,0,0,0,10500,10500,49634,12991,3150,3150,14000,47600,14000,20,20,1200
123,Altamira do Maranhao,Maranhao,city,0,0,0,0,0,0,338,338,379,126,140,140,0,0,0,0,0,0
124,Altamira do Parana,Parana,city,0,0,0,0,0,0,1570,1570,6350,0,0,0,2500,5750,2500,0,0,0
125,Altaneira,Ceara,city,0,0,0,0,0,0,1100,1100,1934,0,0,0,0,0,0,0,0,0
126,Alterosa,Minas Gerais,city,0,0,0,4126,3820,3820,2500,2500,18150,7,4,4,1200,4248,1200,350,350,26600
127,Altinho,Pernambuco,city,0,0,0,0,0,0,450,450,270,0,0,0,0,0,0,0,0,0
128,Altinopolis,Sao Paulo,city,0,0,0,17400,10000,10000,1547,1547,12394,0,0,0,2240,8602,2240,23112,23112,1710288
129,Alto Alegre,Rio Grande do Sul,city,0,0,0,0,0,0,325,40,306,0,0,0,5600,5600,5600,2,2,30
130,Alto Alegre,Roraima,city,0,0,0,0,0,0,4200,4200,26460,700,100,100,35856,114883,35856,0,0,0
131,Alto Alegre,Sao Paulo,city,0,0,0,31,37,37,160,160,792,0,0,0,320,1152,320,8533,8533,639975
132,Alto Alegre do Maranhao,Maranhao,city,0,0,0,0,0,0,220,220,272,338,235,235,0,0,0,0,0,0
133,Alto Alegre do Pindare,Maranhao,city,0,0,0,0,0,0,150,150,100,160,150,150,500,1600,500,0,0,0
134,Alto Alegre dos Parecis,Rondonia,city,3,5,5,22961,5110,5110,3050,3050,12830,540,150,150,2922,10771,2922,12,12,450
135,Alto Araguaia,Mato Grosso,microregion,0,0,0,0,0,0,92500,92500,643200,0,0,0,213400,809700,213400,42020,43325,2776669
136,Alto Araguaia,Mato Grosso,city,0,0,0,0,0,0,12000,12000,72000,0,0,0,47000,160740,47000,6033,7338,286387
137,Alto Bela Vista,Santa Catarina,city,0,0,0,0,0,0,450,450,2160,0,0,0,370,1406,370,15,15,600
138,Alto Boa Vista,Mato Grosso,city,0,0,0,0,0,0,21555,21555,122459,1500,500,500,31500,122850,31500,0,0,0
139,Alto Caparao,Minas Gerais,city,0,0,0,3750,2500,2500,80,80,288,0,0,0,0,0,0,3,3,150
140,Alto Capibaribe,Pernambuco,microregion,0,0,0,462,760,760,7550,2250,914,0,0,0,0,0,0,0,0,0
141,Alto Feliz,Rio Grande do Sul,city,0,0,0,0,0,0,150,150,717,0,0,0,0,0,0,8,13,307
142,Alto Garcas,Mato Grosso,city,0,0,0,0,0,0,33000,33000,223200,0,0,0,103000,383160,103000,15,15,300
143,Alto Guapore,Mato Grosso,microregion,0,0,0,37,51,51,50278,50278,261112,960,300,300,146831,546002,146831,5,5,200
144,Alto Horizonte,Goias,city,0,0,0,0,0,0,90,90,513,0,0,0,500,1550,500,5,5,350
145,Alto Jequitiba,Minas Gerais,city,0,0,0,4500,5000,5000,200,200,660,0,0,0,0,0,0,10,10,330
146,Alto Longa,Piaui,city,0,0,0,0,0,0,1146,1146,871,248,402,402,0,0,0,7,7,350
147,Alto Mearim e Grajau,Maranhao,microregion,0,0,0,0,0,0,23169,23169,56054,24694,13731,13731,32375,97360,32375,518,518,34928
148,Alto Medio Caninde,Piaui,microregion,0,0,0,0,0,0,44461,44461,27746,24,38,38,0,0,0,0,0,0
149,Alto Medio Gurgueia,Piaui,microregion,0,0,0,0,0,0,93852,93807,688362,9810,3946,3946,224882,772896,224882,311,311,16725
150,Alto Pantanal,Mato Grosso,microregion,0,0,0,0,0,0,4638,4638,24946,25,14,14,24040,87693,24040,5360,5360,417350
151,Alto Paraguai,Mato Grosso,microregion,0,0,0,0,0,0,37400,37400,186720,0,0,0,62005,199585,61401,1100,1100,75750
152,Alto Paraguai,Mato Grosso,city,0,0,0,0,0,0,4000,4000,20400,0,0,0,7287,24776,7287,0,0,0
153,Alto Parana,Parana,city,0,0,0,9,13,13,290,290,780,0,0,0,460,627,460,3182,3182,175086
154,Alto Paraiso,Parana,city,0,0,0,3,6,6,1040,840,1200,0,0,0,950,998,950,0,0,0
155,Alto Paraiso,Rondonia,city,17,47,47,375,230,230,5060,5060,21204,2640,800,800,21084,84751,21084,0,0,0
156,Alto Paraiso de Goias,Goias,city,0,0,0,0,0,0,5300,5300,45115,0,0,0,15000,49995,15000,0,0,0
157,Alto Parnaiba,Maranhao,city,0,0,0,0,0,0,21878,21878,109208,4080,1700,1700,58200,192060,58200,0,0,0
158,Alto Parnaiba Piauiense,Piaui,microregion,0,0,0,0,0,0,244753,244753,1544499,13822,6334,6334,561334,1984907,561334,107,107,5204
159,Alto Piquiri,Parana,city,0,0,0,0,0,0,27500,27500,82500,0,0,0,30000,51000,30000,0,0,0
160,Alto Rio Doce,Minas Gerais,city,0,0,0,0,0,0,1000,1000,3900,15,5,5,0,0,0,550,550,27500
161,Alto Rio Novo,Espirito Santo,city,0,0,0,5471,2496,2496,2,2,5,11,5,5,0,0,0,20,20,1200
162,Alto Santo,Ceara,city,0,0,0,0,0,0,455,455,409,0,0,0,0,0,0,0,0,0
163,Alto Solimoes,Amazonas,microregion,35,90,100,0,0,0,74,72,339,16,6,6,0,0,0,8,8,159
164,Alto Taquari,Mato Grosso,city,0,0,0,0,0,0,47500,47500,348000,0,0,0,63400,265800,63400,35972,35972,2489982
165,Alto Taquari,Mato Grosso do Sul,microregion,0,0,0,0,0,0,170668,170668,998953,2,2,2,288689,1152471,288689,21319,21319,1745042
166,Alto Teles Pires,Mato Grosso,microregion,0,0,0,0,0,0,1847530,1847530,11985402,29520,8950,8950,2382311,7867757,2382311,1815,1815,126408
167,Alto do Rodrigues,Rio Grande do Norte,city,0,0,0,0,0,0,240,240,69,0,0,0,0,0,0,0,0,0
168,Altos,Piaui,city,0,0,0,0,0,0,529,529,552,136,122,122,0,0,0,5,5,238
169,Altonia,Parana,city,0,0,0,30,88,88,3600,3600,7200,0,0,0,6930,3465,6930,0,0,0
170,Aluminio,Sao Paulo,city,0,0,0,0,0,0,240,240,1200,0,0,0,0,0,0,10,10,1000
171,Alvarenga,Minas Gerais,city,0,0,0,629,688,688,40,40,96,18,3,3,0,0,0,15,15,600
172,Alvaraes,Amazonas,city,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0
173,Alvinlandia,Sao Paulo,city,0,0,0,1904,860,860,100,100,600,0,0,0,100,300,100,0,0,0
174,Alvinopolis,Minas Gerais,city,0,0,0,0,0,0,400,400,1440,0,0,0,0,0,0,150,150,7500
175,Alvorada,Rio Grande do Sul,city,0,0,0,0,0,0,0,0,0,979,192,192,0,0,0,0,0,0
176,Alvorada,Tocantins,city,0,0,0,0,0,0,7000,7000,36500,0,0,0,24994,75732,24994,0,0,0
177,Alvorada D'Oeste,Rondonia,microregion,29,67,67,68542,17555,17555,25628,25628,102643,19933,9862,9862,30352,100181,30352,3,3,120
178,Alvorada D'Oeste,Rondonia,city,6,15,15,4052,1180,1180,500,500,2150,450,150,150,405,1336,405,0,0,0
179,Alvorada de Minas,Minas Gerais,city,0,0,0,0,0,0,70,70,175,0,0,0,0,0,0,30,30,1350
180,Alvorada do Gurgueia,Piaui,city,0,0,0,0,0,0,1360,1360,10938,10,5,5,2330,7072,2330,60,60,2400
181,Alvorada do Norte,Goias,city,0,0,0,0,0,0,750,750,3298,0,0,0,2004,7240,2004,0,0,0
182,Alvorada do Sul,Parana,city,0,0,0,71,58,58,20600,20600,103000,0,0,0,21000,73500,21000,2326,2326,175990
183,Alem Paraiba,Minas Gerais,city,0,0,0,0,0,0,20,20,67,0,0,0,0,0,0,0,0,0
184,Amajari,Roraima,city,0,0,0,0,0,0,400,400,1400,12060,1800,1800,865,2678,865,10,10,150
185,Amambai,Mato Grosso do Sul,city,0,0,0,0,0,0,70000,70000,406000,0,0,0,115000,207000,115000,1445,1445,101111
186,Amapora,Parana,city,0,0,0,1,1,1,2100,2000,9660,0,0,0,2300,1932,2300,8626,8626,425506
187,Amapa,Amapa,microregion,0,0,0,0,0,0,488,488,517,163,165,163,1620,4320,1620,152,152,3592
188,Amapa,Amapa,city,0,0,0,0,0,0,38,38,37,7,10,8,0,0,0,140,140,3290
189,Amapa,Amapa,state,0,0,0,0,0,0,2506,2500,2350,890,865,860,6504,18035,6500,280,280,6997
190,Amapa do Maranhao,Maranhao,city,0,0,0,0,0,0,84,84,43,101,80,80,0,0,0,0,0,0
191,Amaraji,Pernambuco,city,0,0,0,0,0,0,60,60,108,0,0,0,0,0,0,6600,6600,330000
192,Amaral Ferrador,Rio Grande do Sul,city,0,0,0,0,0,0,1600,1600,5760,1260,223,223,2000,5400,2000,0,0,0
193,Amaralina,Goias,city,0,0,0,0,0,0,200,200,1120,0,0,0,4000,12400,4000,6,6,420
194,Amarante,Piaui,city,0,0,0,0,0,0,1900,1843,1460,981,1166,991,0,0,0,150,150,4500
195,Amarante do Maranhao,Maranhao,city,0,0,0,0,0,0,1370,1370,2840,1100,645,645,726,2150,726,4,4,158
196,Amargosa,Bahia,city,432,1150,1150,29,30,30,30,30,55,0,0,0,0,0,0,80,80,1427
197,Amatura,Amazonas,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Amazonas,Amazonas,state,656,1203,1214,628,320,313,2554,2506,5593,2963,1065,1058,5900,13740,5900,775,775,37239
199,Americana,Sao Paulo,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240,19200
200,Americano do Brasil,Goias,city,0,0,0,10,4,4,1050,1050,6850,0,0,0,300,1120,300,0,0,0
201,Ametista do Sul,Rio Grande do Sul,city,0,0,0,0,0,0,900,900,1620,6,3,3,700,945,700,30,30,780
202,Amontada,Ceara,city,0,0,0,0,0,0,4400,4400,924,0,0,0,0,0,0,0,0,0
203,Amorinopolis,Goias,city,0,0,0,0,0,0,3000,3000,18000,0,0,0,6000,22320,6000,0,0,0
204,Amparo,Paraiba,city,0,0,0,0,0,0,350,80,16,0,0,0,0,0,0,0,0,0
205,Amparo,Sao Paulo,microregion,0,0,0,11585,7188,7188,6040,6040,36345,9,4,4,2128,6967,2128,2118,2118,134967
206,Amparo,Sao Paulo,city,0,0,0,1620,900,900,1120,1120,5909,2,1,1,48,187,48,1675,1675,100500
207,Amparo do Serra,Minas Gerais,city,0,0,0,648,360,360,400,400,1920,0,0,0,0,0,0,60,60,3000
208,Amparo do Sao Francisco,Sergipe,city,0,0,0,0,0,0,217,217,352,0,0,0,0,0,0,0,0,0
209,Ampere,Parana,city,0,0,0,0,0,0,5350,5300,15900,1,1,1,8420,6576,8220,10,10,500
210,Amelia Rodrigues,Bahia,city,0,0,0,0,0,0,15,15,21,0,0,0,0,0,0,1,1,50
211,America Dourada,Bahia,city,0,0,0,0,0,0,4000,1300,780,0,0,0,0,0,0,0,0,0
212,Americo Brasiliense,Sao Paulo,city,0,0,0,16,10,10,50,50,235,0,0,0,100,320,100,8500,8500,671500
213,Americo de Campos,Sao Paulo,city,0,0,0,15,25,25,250,250,1500,0,0,0,1300,3120,1300,7200,7200,540000
214,Anadia,Alagoas,city,0,0,0,0,0,0,1700,1650,11880,0,0,0,510,1862,510,1500,1500,95529
215,Anage,Bahia,city,0,0,0,0,0,0,350,350,65,0,0,0,0,0,0,33,33,480
216,Anahy,Parana,city,0,0,0,6,5,5,4400,4400,19575,12,4,4,5284,10000,5284,1,1,50
217,Anajatuba,Maranhao,city,0,0,0,0,0,0,277,277,108,78,125,125,0,0,0,0,0,0
218,Anajas,Para,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Analandia,Sao Paulo,city,0,0,0,252,200,200,540,540,2727,0,0,0,600,1980,600,8500,8500,680000
220,Anama,Amazonas,city,0,0,0,0,0,0,45,45,110,0,0,0,0,0,0,0,0,0
221,Ananindeua,Para,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Ananas,Tocantins,city,0,0,0,0,0,0,189,189,400,121,71,71,10,27,9,0,0,0
223,Anapu,Para,city,11478,10113,10113,0,0,0,1000,1000,2332,293,110,110,0,0,0,0,0,0
224,Anapurus,Maranhao,city,0,0,0,0,0,0,980,980,1750,285,300,300,7650,23000,7650,62,62,1750
225,Anastacio,Mato Grosso do Sul,city,0,0,0,0,0,0,8617,8617,36161,0,0,0,18825,46310,18825,10,10,500
226,Anaurilandia,Mato Grosso do Sul,city,0,0,0,0,0,0,6500,6500,27300,0,0,0,34780,44778,34780,0,0,0
227,Anchieta,Espirito Santo,city,30,50,50,2650,1050,1050,0,0,0,0,0,0,0,0,0,5,5,125
228,Anchieta,Santa Catarina,city,0,0,0,0,0,0,650,650,2808,0,0,0,800,2160,800,35,35,2275
229,Andarai,Bahia,city,0,0,0,0,0,0,550,550,1375,0,0,0,0,0,0,0,0,0
230,Andira,Parana,city,0,0,0,1,1,1,10020,10020,59136,58,12,12,13390,47401,13390,5100,5100,366996
231,Andorinha,Bahia,city,0,0,0,0,0,0,1180,1180,94,0,0,0,0,0,0,0,0,0
232,Andradas,Minas Gerais,city,0,0,0,7056,5600,5600,1000,1000,6960,0,0,0,590,2266,590,13,13,650
233,Andradina,Sao Paulo,microregion,0,0,0,12,16,16,7375,7375,42324,0,0,0,8918,26704,8918,226904,231309,16351425
