,name,state,location_type,cocoa,area_harvested_cocoa,area_planted_cocoa,coffee,area_planted_coffee,area_harvested_coffee,area_planted_corn,area_harvested_corn,corn,rice,area_planted_rice,area_harvested_rice,area_planted_soy,soy,area_harvested_soy,area_harvested_sugarcane,area_planted_sugarcane,sugarcane
3222,Manaira,Paraiba,city,0,0,0,0,0,0,2000,2000,1200,0,0,0,0,0,0,0,0,0
3223,Mandaguari,Parana,city,0,0,0,48,162,162,5755,5685,15702,0,0,0,7800,14040,7800,478,478,44956
3224,Mandaguacu,Parana,city,0,0,0,2,6,6,8859,8859,34379,0,0,0,12311,16640,11093,5251,5251,366196
3225,Mandirituba,Parana,city,0,0,0,0,0,0,2450,2450,20678,0,0,0,565,1949,565,0,0,0
3226,Manduri,Sao Paulo,city,0,0,0,2925,1625,1625,3390,3390,16943,0,0,0,1955,6667,1955,3650,3650,321200
3227,Manfrinopolis,Parana,city,0,0,0,0,0,0,1050,650,2325,1,1,1,1200,1089,1100,5,5,250
3228,Manga,Minas Gerais,city,0,0,0,0,0,0,470,470,846,7,6,6,0,0,0,40,40,1280
3229,Mangaratiba,Rio de Janeiro,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,126
3230,Mangueirinha,Parana,city,0,0,0,0,0,0,16400,16400,120160,0,0,0,46700,154310,46700,5,5,200
3231,Manhuacu,Minas Gerais,microregion,0,0,0,170140,120845,120845,6395,6395,24659,20,6,6,0,0,0,416,416,14440
3232,Manhuacu,Minas Gerais,city,0,0,0,32688,22700,22700,800,800,4320,0,0,0,0,0,0,5,5,200
3233,Manhumirim,Minas Gerais,city,0,0,0,7176,5200,5200,200,200,660,0,0,0,0,0,0,0,0,0
3234,Manicore,Amazonas,city,52,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3235,Manoel Emidio,Piaui,city,0,0,0,0,0,0,151,151,36,3,50,13,0,0,0,0,0,0
3236,Manoel Ribas,Parana,city,0,0,0,0,0,0,7500,6000,28725,7,3,3,30000,88500,30000,0,0,0
3237,Manoel Urbano,Acre,city,0,0,0,170,110,100,590,590,1239,81,70,70,0,0,0,15,15,375
3238,Manoel Viana,Rio Grande do Sul,city,0,0,0,0,0,0,3300,3300,11580,18124,2542,2542,50000,45000,50000,0,0,0
3239,Manoel Vitorino,Bahia,city,0,0,0,0,0,0,90,90,27,0,0,0,0,0,0,1,1,15
3240,Mansidao,Bahia,city,0,0,0,0,0,0,900,900,464,0,0,0,0,0,0,4,4,125
3241,Mantena,Minas Gerais,microregion,14,14,14,9805,8261,8261,373,373,605,68,42,42,0,0,0,201,201,9717
3242,Mantena,Minas Gerais,city,14,14,14,2703,2150,2150,150,150,202,16,10,10,0,0,0,110,110,5500
3243,Mantenopolis,Espirito Santo,city,0,0,0,8251,4722,4722,45,45,113,75,30,30,0,0,0,3,3,165
3244,Maquine,Rio Grande do Sul,city,0,0,0,0,0,0,1100,1100,6050,2025,270,270,0,0,0,20,20,1400
3245,Mar Vermelho,Alagoas,city,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0
3246,Mar de Espanha,Minas Gerais,city,0,0,0,210,100,100,80,80,385,0,0,0,0,0,0,65,65,4030
3247,Mara Rosa,Goias,city,0,0,0,0,0,0,1150,1150,5835,0,0,0,6500,20150,6500,8,8,560
3248,Maraba,Para,microregion,26,30,30,0,0,0,9984,9984,29803,105,105,105,1417,4316,1417,0,0,0
3249,Maraba,Para,city,0,0,0,0,0,0,7455,7455,25705,105,105,105,525,1628,525,0,0,0
3250,Maraba Paulista,Sao Paulo,city,0,0,0,0,0,0,600,600,2170,0,0,0,900,3485,900,15875,15875,1100000
3251,Maracaju,Mato Grosso do Sul,city,0,0,0,0,0,0,280000,280000,1596000,0,0,0,330000,1029600,330000,5000,5000,370950
3252,Maracaja,Santa Catarina,city,0,0,0,0,0,0,300,300,1950,15355,1850,1850,120,252,120,0,0,0
3253,Maracanau,Ceara,city,0,0,0,0,0,0,91,91,482,0,0,0,0,0,0,1,1,32
3254,Maracana,Para,city,0,0,0,0,0,0,250,250,150,20,40,40,0,0,0,0,0,0
3255,Maracacume,Maranhao,city,0,0,0,0,0,0,90,90,50,25,18,18,0,0,0,0,0,0
3256,Maracai,Sao Paulo,city,0,0,0,0,0,0,27300,27300,83160,9,5,5,27935,97772,27935,17700,17700,1493844
3257,Maracas,Bahia,city,0,0,0,300,350,350,275,75,36,0,0,0,0,0,0,0,0,0
3258,Maragogi,Alagoas,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,54236
3259,Maragogipe,Bahia,city,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,2,2,27
3260,Maraial,Pernambuco,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,812,41818
3261,Maraja do Sena,Maranhao,city,0,0,0,0,0,0,1230,1230,4490,606,306,306,1200,4320,1200,0,0,0
3262,Marajo,Para,macroregion,71,82,82,0,0,0,30,30,46,37590,10918,10918,0,0,0,7,7,249
